"","l_s1101","l_s1102","l_s1104","l_s301","l_s302","l_s303","l_s304","l_s305","l_s306","l_s308","l_s310","l_s312","l_s313","l_s314","l_s315","l_s317","l_s318","l_s319","l_s320","l_s322","o_s307","o_s309","o_s321","o_s323","o_s324","o_s325","o_s326","o_s327","o_s328","o_s329","o_s330","o_s331","o_s332","o_s333","o_s334","o_s335","o_s338","o_s339","o_s340","o_s342"
"bacon",5.33,2,7,2.67,1.67,3.67,2,1.67,4.33,3.5,1.67,3.5,4,4.67,4.33,5,3,1.67,6.5,3,5.33,7,7,7,7,1,3,7,7,5.67,6,3.67,6,1,1,7,5,5,6.7,2
"bell_pepper",3.33,1,1.67,5.67,4.67,6,2,7,1.33,3,2.33,4.5,2.67,2.33,4.33,3.67,1.33,1,1.67,1.33,3.5,3,4.33,1,1,4,4,2,2,3,1,1.67,1.67,1,1,7,1.5,3.33,3,6
"broccoli",1.67,1.67,2,5,6,4,2,7,2,3,3,4.5,1.67,4,3.67,2,6.33,2.33,2.25,2.67,5,3.5,2,1.33,1.33,6.33,5,1.33,4.33,3.67,6.67,1,3.33,1.67,1,4.5,1.33,3.33,4,2
"brownie",6,1,5.33,6.67,4.67,3.67,3,1.67,3.33,2.33,2.33,4,3.5,4,1.67,3.33,2,7,7,1.67,4,7,7,6,7,3.33,2.67,6,1.33,7,2.67,1,2.67,6.33,6.33,3.67,6,4,7,7
"burger",4.67,2.33,7,2.67,3.67,4,3.33,3.67,6.33,4.33,2,3.5,2.33,5.33,6.67,4.33,1,4.33,4.5,3,4,7,7,5.67,4.67,1,2,7,5.67,4.33,3.33,4,7,2,1,4.67,5.33,3.5,6,2
"cake",5.67,1.33,4.67,5.33,5,4.67,3.33,1.67,3.67,3.33,2.67,3.5,4,4.67,6,5.67,6.33,6,6.5,1.33,5.33,5,3,7,1.5,4,4,5.33,2.67,6,3.5,1.33,4.33,3.67,7,2,6,4.33,5.3,7
"candy_cane",3.67,1,1,4,1,1.33,1,1,1.5,1,1,5,3,3,1,3.33,3,2,2.5,1,2.67,2.67,2.67,4,1,1.33,4.33,1.67,1,3.33,2.33,1,2.33,2.67,4,1,2.33,2,3,7
"cantaloupe",1.33,1,1,6,1,1.33,4.33,7,1.33,1.33,2.33,3.5,4.67,1,6,1,1.33,1.67,4.5,3,3.5,3,4.67,4.33,1,5.67,7,2.33,7,5.67,1,4.67,4.33,1.67,4.67,1.33,4.67,1.5,4.7,5
"carrot",1,1.33,3.33,5.67,4.67,4.33,2.33,7,1.33,2,1.67,4.67,1.33,3,5,4.33,2.33,1.33,2,1.33,4,2.5,2.67,1.33,1,4.33,4,1,2.33,3.33,1,3,1,1.67,1.33,3.67,4.67,2.67,4,3
"cauliflower",2.67,1,1.67,6,1,1.33,2,5,2.33,1.67,1.5,2,1,3.67,3,2.33,2,1,3.25,2,4,2.67,2.67,1,1,3.33,3.67,2.5,3,3.67,1,2.33,2.33,1,1,7,1,1.5,3.3,4.5
"cheesecake",4.67,1.33,1,1,3,5.33,3,1.67,6,3.33,2.67,1,4.67,4.67,4,4.67,5.33,4.67,1,2.67,6,1,5.33,7,3.33,7,3.67,6.33,4.33,6,6,1,1,1,7,3,5.67,4.67,6,7
"chips",3,1.33,4.67,4.67,2,4,3.67,3,1.67,2,3,4.67,4,3.33,4.67,5.33,4.67,4,6.33,1,4.33,5.5,4,2.67,6.67,4.67,3.33,6.67,5,5.67,3,3.67,4.67,4,3,6,5.33,4.67,4.3,5
"chocolate_candy",5,1.33,5.33,6.67,6.67,4,2.67,1.67,5.33,3.33,3.67,4,4,3.67,2.33,6.67,4.67,6.33,5,1,4,3.5,7,6.67,5.33,1.67,3.33,5.33,1.33,7,3,1,4,7,3,1.33,4.33,4.67,4.3,7
"cinnamon_roll",4,2.33,5,5.33,4.67,3,3.33,1,4.33,3,2.67,4,4,5,7,4.33,7,6.33,6.75,2.67,5,6,7,7,7,3.5,1,7,1,6,2.33,1.67,5,5,7,1.5,6.33,6,5,6.5
"cookie",5,2,5,6.33,4,4,3.5,2,4.33,2,3.33,4,4,4,4,6,5.67,5.67,5.67,1,4.33,5.5,6.33,5.67,4.33,3.67,2,6,4.33,4,2.67,2.67,4,4,4.67,4,6.67,4.33,6.3,2
"corn",3,1,4,4,3.67,4.67,4.67,6.67,2.67,3.33,1.67,5.5,4,4.67,3.33,3,4.33,1.67,4.5,3,5,6.5,4,2,3,4,3.67,3.67,5.33,3.67,1,1,4.67,4.67,4.33,6,3.33,3,4,1
"cotton_candy",5,1,6,5.67,1,2,1,1,2.33,1,1,4.5,4,5,5.33,2.67,6.67,6.5,1,1,3.67,7,4.33,2,1,1,3,6.5,1,5,1.33,1,3,5,4,1,1.33,4,5,7
"crepe",6,2.33,1,4,3.33,5,2.5,1.33,4.67,5.67,1,5,4.33,3.67,6.33,5,4.33,7,2,1,5,2.33,5.33,7,1.33,2.67,2,6,1.67,6,3.67,1,2.33,1,4,1,5.67,5.67,7,7
"donut",4.67,1,1.33,5.67,4,2,3,1,1,1.67,2.67,5,4,4,3,4.67,1.67,6,4.5,1.33,4.33,5.5,7,6.67,4.33,2.67,1.67,4,6,4.67,3.67,1,3.67,1,4,2.67,5,4.33,7,7
