"","subj","roi","PC1","PC2","beh_sim","cluster","category","diff","network"
"l_s1101","l_s1101","Dorsal_ACC",-0.0459984568530036,0.00450118752418372,-0.0458976284195481,-0.0106861896170785,0.0691997784131258,-0.0798859680302043,"Limbic"
"l_s1102","l_s1102","Dorsal_ACC",0.0602754920270302,-0.0232159047441974,-0.00790991015042054,0.0196526137358616,-0.00155888061013683,0.0212114943459984,"Limbic"
"l_s1104","l_s1104","Dorsal_ACC",0.0357129940244871,-0.0625894563242905,-0.0377994146638451,0.0479863626796919,-0.0186879423274298,0.0666743050071217,"Limbic"
"l_s301","l_s301","Dorsal_ACC",0.0507880910192893,0.0251596257709906,-0.0153852732359016,-0.0207657333504797,0.0533017392948262,-0.0740674726453059,"Limbic"
"l_s302","l_s302","Dorsal_ACC",-0.0250252140917239,-0.0125282278069539,0.00893170730351597,0.00102869065850907,0.0102058177877672,-0.00917712712925813,"Limbic"
"l_s303","l_s303","Dorsal_ACC",0.0617909715215273,0.0230647478536777,0.0338200735933125,0.0416124811756567,-0.00436488989282035,0.045977371068477,"Limbic"
"l_s304","l_s304","Dorsal_ACC",0.0716950505207492,-0.02314949737776,0.0765160714607623,0.00934245917749716,-0.00471824317000783,0.014060702347505,"Limbic"
"l_s305","l_s305","Dorsal_ACC",-0.0176269162802872,-0.0181806230758012,-0.0023968185389064,-0.0378907207368444,-0.0188542813881092,-0.0190364393487352,"Limbic"
"l_s306","l_s306","Dorsal_ACC",0.0349678181240888,0.00784826546831723,0.0438785989671627,0.0549537236246065,0.0396578830832344,0.0152958405413721,"Limbic"
"l_s308","l_s308","Dorsal_ACC",-0.0121916148108772,0.0236081589588774,-0.0236362365536121,0.0186235465290974,0.0120767057599031,0.0065468407691943,"Limbic"
"l_s310","l_s310","Dorsal_ACC",-0.0106582907477132,-0.0228394549756594,-0.0212091184048353,-0.0313538337231628,-0.00035334600011349,-0.0310004877230493,"Limbic"
"l_s312","l_s312","Dorsal_ACC",-0.00941764368047006,-0.0834666523820621,-0.0460294524596105,-0.0419699974095408,-0.0480087640063902,0.0060387665968494,"Limbic"
"l_s313","l_s313","Dorsal_ACC",0.0230193241658727,0.0192517276943972,0.0329838894223371,-0.00434571901364266,0.0435097766171439,-0.0478554956307866,"Limbic"
"l_s314","l_s314","Dorsal_ACC",0.0345173582778648,-0.0628273212990064,0.0383880254140142,0.0251767399544257,0.00808556374537049,0.0170911762090552,"Limbic"
"l_s315","l_s315","Dorsal_ACC",-0.00506682357284312,-0.0334235315224205,-0.0159706789470599,-0.0344852856130549,0.0282544099831065,-0.0627396955961614,"Limbic"
"l_s317","l_s317","Dorsal_ACC",0.094332855314894,-0.0402961424352359,0.0272550639615932,-0.000881734767635466,-0.0310212534270943,0.0301395186594588,"Limbic"
"l_s318","l_s318","Dorsal_ACC",0.0267444952836893,0.00476408840601218,0.0555992874102089,-0.0176365191494882,0.00941590951783577,-0.027052428667324,"Limbic"
"l_s319","l_s319","Dorsal_ACC",-0.056568798257319,0.0782014525049324,0.058281044591421,0.0359146256045005,0.0464255748542158,-0.0105109492497153,"Limbic"
"l_s320","l_s320","Dorsal_ACC",-0.0210224536949069,-0.0163003964044579,-0.0532706212221174,0.0412760050216492,-0.0185216043007652,0.0597976093224144,"Limbic"
"l_s322","l_s322","Dorsal_ACC",0.0205329251689951,0.0355064185638538,0.0268682296451817,0.0357674809902796,-0.0145921463088224,0.050359627299102,"Limbic"
"o_s307","o_s307","Dorsal_ACC",-0.0513665465300993,-0.0206988048962931,-0.0239721305033236,-0.0199886445886892,-0.0282544099831065,0.0082657653944173,"Limbic"
