"","Dorsal_ACC","Left_Amyg","Left_dMI","Left_IFG","Left_MFG","Left_OFC","Left_vAI","Left_VS","Pre_SMA","Right_Amyg","Right_IFG","Right_IPS","Right_MFG","Right_MI","Right_OFC","Right_PCG","V1"
"Dorsal_ACC",1,0.46076896191819,0.465448390311294,0.451217130779742,0.552803532785264,0.576857889468177,0.459091222530146,0.432701930472307,0.487813457535821,0.462416310619466,0.466054355656744,0.367049906028922,0.558146801493115,0.57990561549601,0.510215893742141,0.498169948065472,0.278901742690584
"Left_Amyg",0.46076896191819,1,0.43381009843897,0.2709681965345,0.342230419223637,0.497517162830255,0.50805722298139,0.464085156408247,0.380447947542855,0.553631324749578,0.30117233588795,0.278183197357174,0.377373666987285,0.578771285538684,0.452163942674527,0.330955643498495,0.392213799390882
"Left_dMI",0.465448390311294,0.43381009843897,1,0.33370410851446,0.360826617996338,0.487184972570204,0.445932580479196,0.414406976084222,0.363589544024716,0.390054151011922,0.309766504195739,0.25878152480964,0.33748203239571,0.561236537206544,0.420136325922488,0.348443812913156,0.318709058033119
"Left_IFG",0.451217130779742,0.2709681965345,0.33370410851446,1,0.656500127490595,0.503887860679979,0.210599315173941,0.276061281846695,0.513838904532308,0.309683953420552,0.761083961354854,0.593460956334411,0.689009948001308,0.335893243518964,0.394544349698112,0.412275208283985,0.314890818777687
"Left_MFG",0.552803532785264,0.342230419223637,0.360826617996338,0.656500127490595,1,0.566553006709979,0.290756724144539,0.30630028533637,0.529475376756347,0.286225090230459,0.589626512659927,0.511847374233417,0.667439771452181,0.407602237471698,0.435945130511248,0.455692068319933,0.302272810971312
"Left_OFC",0.576857889468177,0.497517162830255,0.487184972570204,0.503887860679979,0.566553006709979,1,0.492656029536289,0.476937638893131,0.537965580487563,0.466546777669678,0.45626797213582,0.449900571055411,0.537412800246589,0.56352763044004,0.604311772465635,0.447522751132123,0.432501059961259
"Left_vAI",0.459091222530146,0.50805722298139,0.445932580479196,0.210599315173941,0.290756724144539,0.492656029536289,1,0.442395916209782,0.336678283311661,0.477958922586777,0.262276011263739,0.194028625037214,0.334948260281035,0.5670712246566,0.419104498813991,0.325296289225206,0.360040819850039
"Left_VS",0.432701930472307,0.464085156408247,0.414406976084222,0.276061281846695,0.30630028533637,0.476937638893131,0.442395916209782,1,0.373672082559635,0.408414351753095,0.24207730282677,0.226161843204235,0.323317813900752,0.494409612969358,0.438262234112627,0.3142292335284,0.375620205616769
"Pre_SMA",0.487813457535821,0.380447947542855,0.363589544024716,0.513838904532308,0.529475376756347,0.537965580487563,0.336678283311661,0.373672082559635,1,0.382683252827967,0.462962953483144,0.490756166338411,0.538631740651039,0.446861132004558,0.442009890549849,0.41871282017688,0.39155748598288
"Right_Amyg",0.462416310619466,0.553631324749578,0.390054151011922,0.309683953420552,0.286225090230459,0.466546777669678,0.477958922586777,0.408414351753095,0.382683252827967,1,0.34469660653696,0.246180781459786,0.33285230020286,0.530992732530475,0.449389735797631,0.295893495036452,0.388944504976944
"Right_IFG",0.466054355656744,0.30117233588795,0.309766504195739,0.761083961354854,0.589626512659927,0.45626797213582,0.262276011263739,0.24207730282677,0.462962953483144,0.34469660653696,1,0.659873351577108,0.709615256450767,0.372815617163096,0.364617468681929,0.473859143558163,0.278094623943924
"Right_IPS",0.367049906028922,0.278183197357174,0.25878152480964,0.593460956334411,0.511847374233417,0.449900571055411,0.194028625037214,0.226161843204235,0.490756166338411,0.246180781459786,0.659873351577108,1,0.58754772762184,0.366810210855338,0.360470525211699,0.517919009380102,0.339410173233055
"Right_MFG",0.558146801493115,0.377373666987285,0.33748203239571,0.689009948001308,0.667439771452181,0.537412800246589,0.334948260281035,0.323317813900752,0.538631740651039,0.33285230020286,0.709615256450767,0.58754772762184,1,0.431842308611434,0.437199227855179,0.461288471282925,0.329791997263277
"Right_MI",0.57990561549601,0.578771285538684,0.561236537206544,0.335893243518964,0.407602237471698,0.56352763044004,0.5670712246566,0.494409612969358,0.446861132004558,0.530992732530475,0.372815617163096,0.366810210855338,0.431842308611434,1,0.497684843878868,0.445127253190065,0.356913743522079
"Right_OFC",0.510215893742141,0.452163942674527,0.420136325922488,0.394544349698112,0.435945130511248,0.604311772465635,0.419104498813991,0.438262234112627,0.442009890549849,0.449389735797631,0.364617468681929,0.360470525211699,0.437199227855179,0.497684843878868,1,0.410560248053408,0.359058638843602
"Right_PCG",0.498169948065472,0.330955643498495,0.348443812913156,0.412275208283985,0.455692068319933,0.447522751132123,0.325296289225206,0.3142292335284,0.41871282017688,0.295893495036452,0.473859143558163,0.517919009380102,0.461288471282925,0.445127253190065,0.410560248053408,1,0.252872726023504
"V1",0.278901742690584,0.392213799390882,0.318709058033119,0.314890818777687,0.302272810971312,0.432501059961259,0.360040819850039,0.375620205616769,0.39155748598288,0.388944504976944,0.278094623943924,0.339410173233055,0.329791997263277,0.356913743522079,0.359058638843602,0.252872726023504,1
