,food1,food2,food3,answer,rt
0,rice_5,cinnamon_roll_7,doughnut_6,rice_5,4447
1,gummy_bear_3,pineapple_6,crepe_2,gummy_bear_3,2318
3,squash_6,crepe_2,onion_ring_2,crepe_2,1676
4,apple_3,soup_7,mac_and_cheese_7,apple_3,1774
6,raspberry_2,tomato_1,sausage_1,sausage_1,1398
7,watermelon_6,chips_1,mac_and_cheese_7,watermelon_6,1698
8,broccoli_7,chocolate_candy_4,fried_chicken_7,broccoli_7,1519
9,mushroom_8,rice_5,bacon_2,bacon_2,1654
10,pineapple_6,soup_7,chips_1,chips_1,2093
11,cake_7,grilled_cheese_4,mac_and_cheese_7,cake_7,1985
12,jelly_bean_7,cake_7,cinnamon_roll_7,jelly_bean_7,1484
13,raspberry_2,fried_chicken_7,mac_and_cheese_7,raspberry_2,2290
14,watermelon_6,bean_8,chocolate_candy_4,watermelon_6,1776
15,bean_8,squash_6,pie_4,pie_4,2091
16,soup_7,cookie_7,doughnut_6,soup_7,1658
17,apple_3,gummy_bear_3,raspberry_2,gummy_bear_3,1499
18,chips_1,mac_and_cheese_7,onion_ring_2,mac_and_cheese_7,1812
19,jelly_bean_7,pie_4,onion_ring_2,pie_4,2121
20,jelly_bean_7,mushroom_8,soup_7,soup_7,1725
21,apple_3,strawberry_1,onion_ring_2,onion_ring_2,1146
22,crepe_2,doughnut_6,onion_ring_2,onion_ring_2,4347
23,apple_3,watermelon_6,grilled_cheese_4,grilled_cheese_4,1477
24,broccoli_7,tomato_1,fried_chicken_7,fried_chicken_7,1139
25,raspberry_2,bean_8,hot_dog_3,hot_dog_3,928
27,tomato_1,cookie_7,muffin_8,tomato_1,1649
28,pineapple_6,soup_7,muffin_8,soup_7,1184
29,cauliflower_3,fried_chicken_7,hot_dog_3,cauliflower_3,1966
30,mushroom_8,potato_6,chips_1,mushroom_8,1793
31,watermelon_6,tomato_1,cake_7,cake_7,2005
32,squash_6,doughnut_6,hot_dog_3,hot_dog_3,968
33,squash_6,pie_4,french_fries_5,squash_6,1787
34,popsicle_2,watermelon_6,mac_and_cheese_7,watermelon_6,2418
35,doughnut_6,muffin_8,french_fries_5,french_fries_5,2942
36,mushroom_8,rice_5,crepe_2,crepe_2,1918
37,candy_cane_5,chips_1,onion_ring_2,onion_ring_2,2503
38,pineapple_6,cauliflower_3,onion_ring_2,cauliflower_3,772
39,cauliflower_3,squash_6,chips_1,cauliflower_3,2257
41,watermelon_6,potato_6,cinnamon_roll_7,cinnamon_roll_7,2283
42,raspberry_2,cauliflower_3,ice_cream_1,ice_cream_1,1577
43,mushroom_8,fried_chicken_7,onion_ring_2,mushroom_8,1715
44,strawberry_1,crepe_2,ice_cream_1,ice_cream_1,4447
45,cookie_7,grilled_cheese_4,sausage_1,cookie_7,2919
46,apple_3,broccoli_7,squash_6,apple_3,9168
47,candy_cane_5,raspberry_2,chips_1,raspberry_2,3082
48,tomato_1,cinnamon_roll_7,muffin_8,tomato_1,2202
49,bean_8,soup_7,pie_4,soup_7,4934
51,potato_6,rice_5,cinnamon_roll_7,cinnamon_roll_7,3272
52,gummy_bear_3,popsicle_2,raspberry_2,raspberry_2,2539
53,chocolate_candy_4,bacon_2,fried_chicken_7,chocolate_candy_4,2927
54,popsicle_2,watermelon_6,soup_7,popsicle_2,2630
55,watermelon_6,cookie_7,bacon_2,watermelon_6,5967
56,watermelon_6,crepe_2,sausage_1,watermelon_6,2014
57,bean_8,cauliflower_3,soup_7,bean_8,3457
58,cauliflower_3,soup_7,pie_4,pie_4,1918
59,cinnamon_roll_7,doughnut_6,hot_dog_3,hot_dog_3,1668
60,popsicle_2,pie_4,mac_and_cheese_7,mac_and_cheese_7,5197
61,candy_cane_5,gummy_bear_3,mac_and_cheese_7,mac_and_cheese_7,1745
62,ice_cream_1,chips_1,grilled_cheese_4,grilled_cheese_4,5772
63,gummy_bear_3,watermelon_6,chocolate_candy_4,watermelon_6,2388
65,raspberry_2,watermelon_6,hot_dog_3,hot_dog_3,3458
66,bacon_2,grilled_cheese_4,onion_ring_2,grilled_cheese_4,4491
67,gummy_bear_3,strawberry_1,soup_7,soup_7,1888
68,gummy_bear_3,watermelon_6,cake_7,watermelon_6,2868
69,mushroom_8,potato_6,soup_7,soup_7,1959
70,apple_3,candy_cane_5,strawberry_1,candy_cane_5,1233
71,soup_7,chips_1,onion_ring_2,soup_7,2734
72,watermelon_6,mushroom_8,fried_chicken_7,fried_chicken_7,2289
73,apple_3,cauliflower_3,cake_7,cauliflower_3,1608
74,tomato_1,pie_4,hot_dog_3,hot_dog_3,2143
75,mushroom_8,chocolate_candy_4,fried_chicken_7,chocolate_candy_4,1211
76,jelly_bean_7,bean_8,sausage_1,jelly_bean_7,1914
77,apple_3,strawberry_1,rice_5,rice_5,1340
79,popsicle_2,broccoli_7,crepe_2,broccoli_7,2103
80,popsicle_2,strawberry_1,doughnut_6,strawberry_1,2876
82,rice_5,chocolate_candy_4,crepe_2,chocolate_candy_4,2670
83,gummy_bear_3,mushroom_8,sausage_1,sausage_1,1336
84,bean_8,muffin_8,hot_dog_3,muffin_8,2022
85,rice_5,soup_7,sausage_1,soup_7,3871
86,gummy_bear_3,strawberry_1,hot_dog_3,hot_dog_3,1792
87,tomato_1,pie_4,grilled_cheese_4,pie_4,2305
