"","sublabel","roi","network","PC1","PC2","cluster","category","diff"
"1","sub-001","Dorsal_ACC","Limbic",-0.0459984568530036,0.00450118752418372,-0.0106861896170785,0.0691997784131258,-0.0798859680302043
"2","sub-002","Dorsal_ACC","Limbic",0.0602754920270302,-0.0232159047441974,0.0196526137358616,-0.00155888061013683,0.0212114943459984
"3","sub-003","Dorsal_ACC","Limbic",0.0357129940244871,-0.0625894563242905,0.0479863626796919,-0.0186879423274298,0.0666743050071217
"4","sub-004","Dorsal_ACC","Limbic",0.0507880910192893,0.0251596257709906,-0.0207657333504797,0.0533017392948262,-0.0740674726453059
"5","sub-005","Dorsal_ACC","Limbic",-0.0250252140917239,-0.0125282278069539,0.00102869065850907,0.0102058177877672,-0.00917712712925813
"6","sub-006","Dorsal_ACC","Limbic",0.0617909715215273,0.0230647478536777,0.0416124811756567,-0.00436488989282035,0.045977371068477
"7","sub-007","Dorsal_ACC","Limbic",0.0716950505207492,-0.02314949737776,0.00934245917749716,-0.00471824317000783,0.014060702347505
"8","sub-008","Dorsal_ACC","Limbic",-0.0176269162802872,-0.0181806230758012,-0.0378907207368444,-0.0188542813881092,-0.0190364393487352
"9","sub-009","Dorsal_ACC","Limbic",0.0349678181240888,0.00784826546831723,0.0549537236246065,0.0396578830832344,0.0152958405413721
"10","sub-010","Dorsal_ACC","Limbic",-0.0121916148108772,0.0236081589588774,0.0186235465290974,0.0120767057599031,0.0065468407691943
"11","sub-011","Dorsal_ACC","Limbic",-0.0106582907477132,-0.0228394549756594,-0.0313538337231628,-0.00035334600011349,-0.0310004877230493
"12","sub-012","Dorsal_ACC","Limbic",-0.00941764368047006,-0.0834666523820621,-0.0419699974095408,-0.0480087640063902,0.0060387665968494
"13","sub-013","Dorsal_ACC","Limbic",0.0230193241658727,0.0192517276943972,-0.00434571901364266,0.0435097766171439,-0.0478554956307866
"14","sub-014","Dorsal_ACC","Limbic",0.0345173582778648,-0.0628273212990064,0.0251767399544257,0.00808556374537049,0.0170911762090552
"15","sub-015","Dorsal_ACC","Limbic",-0.00506682357284312,-0.0334235315224205,-0.0344852856130549,0.0282544099831065,-0.0627396955961614
"16","sub-016","Dorsal_ACC","Limbic",0.094332855314894,-0.0402961424352359,-0.000881734767635466,-0.0310212534270943,0.0301395186594588
"17","sub-017","Dorsal_ACC","Limbic",0.0267444952836893,0.00476408840601218,-0.0176365191494882,0.00941590951783577,-0.027052428667324
"18","sub-018","Dorsal_ACC","Limbic",-0.056568798257319,0.0782014525049324,0.0359146256045005,0.0464255748542158,-0.0105109492497153
"19","sub-019","Dorsal_ACC","Limbic",-0.0210224536949069,-0.0163003964044579,0.0412760050216492,-0.0185216043007652,0.0597976093224144
"20","sub-020","Dorsal_ACC","Limbic",0.0205329251689951,0.0355064185638538,0.0357674809902796,-0.0145921463088224,0.050359627299102
"21","sub-021","Dorsal_ACC","Limbic",-0.0513665465300993,-0.0206988048962931,-0.0199886445886892,-0.0282544099831065,0.0082657653944173
"22","sub-022","Dorsal_ACC","Limbic",-0.0126968473572706,-0.0201103330434953,-0.0493120974161171,-0.0282960133426928,-0.0210160840734243
"23","sub-023","Dorsal_ACC","Limbic",0.0736116266458172,-0.00615476814344978,0.0592925554172471,0.0607044703232829,-0.0014119149060358
"24","sub-024","Dorsal_ACC","Limbic",0.0385657268035034,-0.0382804789240746,0.0235802715501088,-0.0296689800093932,0.053249251559502
"25","sub-025","Dorsal_ACC","Limbic",-0.016364097581113,-0.00721133946610515,-0.00258222831822128,-0.0192077553673733,0.016625527049152
"26","sub-026","Dorsal_ACC","Limbic",0.0211397000480786,-0.0460958450322858,-0.0319842759953944,-0.0492796552320613,0.0172953792366669
"27","sub-027","Dorsal_ACC","Limbic",0.0977749577310577,-0.0189670845511462,0.0183925369398219,0.00461431561718567,0.0137782213226362
