"","bacon","chips","french_fries","fried_chicken","grilled_cheese","hot_dog","mac_and_cheese","onion_ring","sausage","cake","chocolate_candy","cinnamon_roll","cookie","crepe","doughnut","ice_cream","muffin","pie","bean","broccoli","cauliflower","mushroom","potato","rice","soup","squash","tomato","apple","candy_cane","gummy_bear","jelly_bean","pineapple","popsicle","raspberry","strawberry","watermelon"
"bacon",1,0.401079311922679,0.540329176450874,0.610880411041223,0.573009847057328,0.501152485397524,0.547158359905426,0.557845598270258,0.458164760999679,0.494457876902684,0.376688846833442,0.497357526985615,0.450236991440648,0.565850392166765,0.531690853711437,0.403592908745849,0.4905989303194,0.56379700336409,0.511132650115511,0.291805601000151,0.376530747748322,0.402764123931886,0.471419615352721,0.523936502213726,0.487165457880727,0.463603378807718,0.414460013366703,0.382819862205853,0.270242498856967,0.487295308879515,0.472242945980118,0.44982786517254,0.403862483309764,0.513491585972117,0.552872158197587,0.455241396531873
"chips",0.401079311922679,1,0.60062769561597,0.501213660287636,0.529011154552479,0.416208714396688,0.600183614541145,0.602055153786341,0.391115541332441,0.528203548555944,0.373963015671429,0.549252695004984,0.651231478484119,0.541849310466335,0.449556446685315,0.47951315829949,0.515040657308986,0.584984387177953,0.445864881322387,0.259132470394305,0.618192123766669,0.607019977134151,0.667203684262131,0.565101838020725,0.458753981448299,0.528401125974604,0.325630526328289,0.387332488189577,0.115320487678271,0.335632179824973,0.339621457457744,0.594602467503253,0.237446556671891,0.39845961899846,0.38048222947611,0.302784758547638
"french_fries",0.540329176450874,0.60062769561597,1,0.519620249790615,0.577808041167295,0.607188995887428,0.722401377423578,0.653600711620731,0.494055104151855,0.600945803898908,0.446708496253235,0.598123811430949,0.564366140847625,0.55768814230592,0.484449484796437,0.465064845161241,0.506291248229726,0.701310215226048,0.552726365997773,0.26081143105999,0.449633123846165,0.582954405960506,0.589451737745176,0.601219946179915,0.534040246477776,0.544095195313071,0.392839041562784,0.488525380341858,0.239614554592012,0.406550788287634,0.460762126201438,0.64013193835306,0.439502762717466,0.431069463877281,0.502480375501626,0.387983914995051
"fried_chicken",0.610880411041223,0.501213660287636,0.519620249790615,1,0.603462823839163,0.429853979044675,0.497713340583339,0.557857290398303,0.41120880826881,0.491973143024674,0.349167820265595,0.427870484456756,0.520745343031171,0.539311024457941,0.498057740180168,0.41015872660448,0.557635613072856,0.624061548287477,0.493413087863545,0.27039401345632,0.484057281180461,0.400668195467297,0.516926206316755,0.533039753091787,0.451810719485602,0.41782885221549,0.261308428198299,0.30580321593468,0.109607669143794,0.33368579101481,0.287956553779345,0.384115367123109,0.24638595054249,0.463178604408785,0.478010421670114,0.335631595202279
"grilled_cheese",0.573009847057328,0.529011154552479,0.577808041167295,0.603462823839163,1,0.59812904460434,0.548313230038825,0.547572187732855,0.490301950612577,0.566598939334234,0.353939650471055,0.539367425486332,0.537104573223893,0.575052021554365,0.515143507151997,0.362999238597518,0.538447320117583,0.627351440153755,0.496665367125907,0.226401150418897,0.443153834950654,0.360196468534184,0.484891704634407,0.536919446933646,0.506223331619307,0.501693875705471,0.321678099690999,0.410114550024243,0.191230598775621,0.361535719943121,0.361965643407598,0.500117480632196,0.333976104028369,0.395465163649209,0.512910543734968,0.459270687241155
"hot_dog",0.501152485397524,0.416208714396688,0.607188995887428,0.429853979044675,0.59812904460434,1,0.505467558879969,0.459058129170948,0.494161132134388,0.527976802644564,0.454286534227246,0.454369024025736,0.396148895658841,0.484425129438633,0.477005357807382,0.401189004195844,0.426150306761975,0.54956735150606,0.464916851746521,0.174633215206741,0.340158340562895,0.375025381619842,0.419754496086229,0.452941357779411,0.470001402338745,0.565891147093755,0.384861549826467,0.443699175808775,0.347745202981376,0.321370928835165,0.365723224859792,0.480872730655047,0.478376490596463,0.315378637212726,0.458610620723003,0.465237970155168
"mac_and_cheese",0.547158359905426,0.600183614541145,0.722401377423578,0.497713340583339,0.548313230038825,0.505467558879969,1,0.582944379646933,0.407478487814307,0.619844029030039,0.315763013936892,0.639743904768959,0.613462818047426,0.552199502389421,0.5123257950682,0.441240775838056,0.557877913629779,0.671398201588932,0.658391346594349,0.336052670987243,0.620251670059283,0.581993085940758,0.616429958055542,0.734564706581297,0.618535867268141,0.558536691128266,0.364766148353856,0.493083886715852,0.169377872341189,0.472577564833866,0.473108897662627,0.69066606006028,0.363477816952311,0.464297015748767,0.466800774127504,0.430189130454431
"onion_ring",0.557845598270258,0.602055153786341,0.653600711620731,0.557857290398303,0.547572187732855,0.459058129170948,0.582944379646933,1,0.489945992861523,0.454720457632065,0.31936934307687,0.582366734473159,0.614256485534263,0.578088059590698,0.479377175162408,0.374329461598619,0.492287923819198,0.598354211719641,0.530678879441734,0.260155820705843,0.423134135627498,0.610651211047097,0.642989247821123,0.52356986247694,0.551230290043954,0.49977914329715,0.392304832565109,0.389200456794522,0.0322433717315348,0.318728519565042,0.42548754438499,0.53510638558135,0.274062163472004,0.430362601678919,0.454204026634727,0.402487233263023
"sausage",0.458164760999679,0.391115541332441,0.494055104151855,0.41120880826881,0.490301950612577,0.494161132134388,0.407478487814307,0.489945992861523,1,0.421555482968309,0.30094240550898,0.549006244857303,0.42359458017553,0.467349549446309,0.500049702627825,0.259931044853198,0.438929472359792,0.536347763861505,0.460284909459145,0.115009924274313,0.239710178582239,0.392325616037611,0.462062242248686,0.376724255886747,0.482601342072917,0.435278320623526,0.406687705840845,0.386755862424042,0.0899611994666636,0.308864251273747,0.350602384274652,0.474004016904101,0.279385565293363,0.344878459399124,0.486319628185584,0.451422305696333
"cake",0.494457876902684,0.528203548555944,0.600945803898908,0.491973143024674,0.566598939334234,0.527976802644564,0.619844029030039,0.454720457632065,0.421555482968309,1,0.383185443274246,0.535570225925036,0.565068400376314,0.573014457834369,0.502697495774232,0.463989833065716,0.548150109914585,0.603427913948005,0.444173717134253,0.287938693488637,0.510734072500701,0.438264399407543,0.503410228716414,0.611923477062254,0.415921908186295,0.492810615297847,0.367401569470867,0.457167762444117,0.319051796305982,0.438920372739262,0.411321363085217,0.5450448941234,0.381721443270557,0.5477096073105,0.45377671999946,0.417918192503667
