food,PC1,PC2,Kcal/100 g ,Fat/100g,Carbs/100g,Sugar/100g,protein/100g,Processed,fat_estimate,sugar_estimate,health
apple,-1.673,-0.565,52,0.17,13.81,10.39,0.26,2.88,2.39,4.29,6.18
bacon,0.660,1.217,468,35.09,1.7,0,33.9,4.91,5.79,2.97,3.49
bean,-0.580,0.346,46,0.66,7.71,1.24,2.42,3.54,3.29,3.24,5.38
broccoli,-1.858,0.138,35,0.41,7.18,1.39,2.38,2.92,2.51,2.46,6.34
cake,0.950,-0.991,429,26.71,45.74,34.04,4.07,5.49,5.52,6.32,3.17
candy_cane,0.781,-1.141,357,0,100,78.57,0,5.74,3.59,5.7,2.55
cauliflower,-1.715,0.167,25,0.28,4.97,1.91,1.92,2.86,2.53,2.28,6.31
chips,0.839,0.856,532,33.98,53.83,0.33,6.39,5.63,5.35,3.05,2.73
chocolate_candy,1.166,-0.962,535,29.66,59.4,51.5,7.65,5.44,5.03,6.28,3.28
cinnamon_roll,1.370,-0.331,452,26.61,48.6,25.7,4.45,5.68,5.59,6.07,2.96
cookie,1.325,-0.490,473,23.82,58.15,28.58,8.92,5.39,5.04,5.46,3.12
crepe,0.778,-0.544,183,6.95,26.38,16.25,4.56,5.31,5.4,5.63,3.72
doughnut,1.314,-0.569,421,22.7,47.93,22.75,6.14,5.98,5.66,6.31,2.69
french_fries,0.673,1.069,289,14.04,37.2,0.28,3.49,5.75,5.73,3.06,2.76
fried_chicken,0.737,1.364,289,17.35,9.42,0,22.5,5.19,6.02,3.05,3.45
grilled_cheese,0.852,1.133,331,19.22,28.7,5.03,10.8,5.34,5.38,4.17,3.4
gummy_bear,0.789,-0.943,300,0,72,48,5,5.87,3.86,5.91,2.54
hot_dog,0.780,1.153,308,18.2,23.81,3.95,11.2,5.9,5.56,3.89,3.19
ice_cream,1.064,-0.954,207,11,23.6,21.22,3.5,5.54,4.72,6.1,2.87
jelly_bean,0.766,-0.953,357,0,89.29,67.86,0,5.8,3.74,6.11,2.63
mac_and_cheese,0.386,1.219,164,4.99,23.1,1.57,6.68,5.56,5.49,3.8,3.18
muffin,1.167,-0.389,375,16.07,53,31.47,4.49,5.43,5.04,5.81,3.42
mushroom,-1.637,0.309,22,0.34,3.26,1.98,3.09,2.91,2.8,2.58,6.25
onion_ring,0.783,1.149,411,25.23,43.58,5.43,3.86,5.53,5.44,3.13,2.83
pie,0.473,-0.886,260,11,39.8,14.29,2,4.99,4.62,5.86,4.05
pineapple,-1.435,-0.677,50,0.12,13.12,9.85,0.54,2.95,2.62,4.9,6.2
popsicle,0.604,-1.135,81,0.24,19.68,14.57,0,5.38,3.55,5.79,2.56
potato,-1.113,0.740,87,0.15,19.59,1.43,2.3,3.07,3.16,3.22,5.38
raspberry,-1.323,-0.900,52,0.65,11.94,4.42,1.2,2.88,3.01,4.74,5.74
rice,-0.455,0.954,124,0.5,26.76,0,2.18,3.91,3.47,3.09,5.03
sausage,0.466,1.319,325,27.25,1.42,1.09,18.5,5.25,5.72,3.57,3.57
soup,-0.685,0.918,65,0.9,12.11,4.31,2.2,4.21,3.44,2.75,5.69
squash,-1.732,0.213,17,0.32,3.11,2.5,1.21,2.96,2.47,2.98,6.33
strawberry,-1.351,-0.971,32,0.3,7.68,4.89,0.67,2.87,2.58,4.67,6.14
tomato,-1.760,-0.158,18,0.2,3.89,2.63,0.88,3,2.56,3.17,6.28
watermelon,-1.403,-0.703,30,0.15,7.55,6.2,0.61,2.71,2.32,4.63,6.02
