"","bacon","chips","french_fries","fried_chicken","grilled_cheese","hot_dog","mac_and_cheese","onion_ring","sausage","cake","chocolate_candy","cinnamon_roll","cookie","crepe","doughnut","ice_cream","muffin","pie","bean","broccoli","cauliflower","mushroom","potato","rice","soup","squash","tomato","apple","candy_cane","gummy_bear","jelly_bean","pineapple","popsicle","raspberry","strawberry","watermelon"
"bacon",1,0.566666666666667,0.603174603174603,0.882352941176471,0.666666666666667,0.765625,0.545454545454545,0.714285714285714,0.923076923076923,0.21875,0.26984126984127,0.389830508474576,0.296875,0.353846153846154,0.318181818181818,0.145161290322581,0.338709677419355,0.230769230769231,0.338709677419355,0.153846153846154,0.140625,0.184615384615385,0.261538461538461,0.353846153846154,0.380952380952381,0.183333333333333,0.164179104477612,0.0793650793650794,0.169230769230769,0.209677419354839,0.131147540983607,0.155172413793103,0.151515151515151,0.0923076923076923,0.0677966101694916,0.0476190476190477
"chips",0.566666666666667,1,0.873015873015873,0.616666666666667,0.619047619047619,0.545454545454545,0.634920634920635,0.784615384615385,0.446153846153846,0.276923076923077,0.328358208955224,0.424242424242424,0.507936507936508,0.234375,0.415384615384615,0.409090909090909,0.396825396825397,0.242424242424242,0.225806451612903,0.142857142857143,0.0757575757575758,0.078125,0.639344262295082,0.307692307692308,0.234375,0.145161290322581,0.0625,0.0895522388059702,0.147540983606557,0.317460317460317,0.439393939393939,0.133333333333333,0.196969696969697,0.0952380952380952,0.0655737704918032,0.0645161290322581
"french_fries",0.603174603174603,0.873015873015873,1,0.728813559322034,0.59375,0.651515151515151,0.587301587301587,0.892307692307692,0.5,0.2,0.230769230769231,0.3125,0.375,0.303030303030303,0.402985074626866,0.301587301587302,0.338983050847458,0.194029850746269,0.258064516129032,0.123076923076923,0.15625,0.106060606060606,0.507936507936508,0.447761194029851,0.303030303030303,0.257575757575758,0.171875,0.0806451612903226,0.206349206349206,0.257575757575758,0.184615384615385,0.0967741935483871,0.290322580645161,0.107692307692308,0.0615384615384615,0.121212121212121
"fried_chicken",0.882352941176471,0.616666666666667,0.728813559322034,1,0.746268656716418,0.705882352941176,0.6,0.857142857142857,0.80952380952381,0.169230769230769,0.193548387096774,0.432835820895522,0.412698412698413,0.238805970149254,0.5,0.215384615384615,0.439393939393939,0.203125,0.265625,0.166666666666667,0.164179104477612,0.242424242424242,0.403225806451613,0.4375,0.390625,0.126984126984127,0.153846153846154,0.0606060606060606,0.123076923076923,0.0793650793650794,0.158730158730159,0.0476190476190477,0.0806451612903226,0.0461538461538461,0.0333333333333333,0.0923076923076923
"grilled_cheese",0.666666666666667,0.619047619047619,0.59375,0.746268656716418,1,0.8125,0.819672131147541,0.676923076923077,0.714285714285714,0.333333333333333,0.184615384615385,0.640625,0.421875,0.523809523809524,0.349206349206349,0.25,0.538461538461538,0.245901639344262,0.242424242424242,0.107692307692308,0.134328358208955,0.161290322580645,0.328358208955224,0.388059701492537,0.383333333333333,0.17910447761194,0.1875,0.107692307692308,0.125,0.245901639344262,0.112903225806452,0.0666666666666667,0.169230769230769,0.0634920634920635,0.0158730158730159,0.078125
"hot_dog",0.765625,0.545454545454545,0.651515151515151,0.705882352941176,0.8125,1,0.661538461538462,0.636363636363636,0.984615384615385,0.253968253968254,0.238095238095238,0.4,0.303030303030303,0.353846153846154,0.428571428571429,0.333333333333333,0.393939393939394,0.359375,0.225806451612903,0.121212121212121,0.106060606060606,0.161290322580645,0.318181818181818,0.328358208955224,0.378787878787879,0.203125,0.125,0.0476190476190477,0.138461538461538,0.125,0.171875,0.0793650793650794,0.227272727272727,0.0606060606060606,0.106060606060606,0.112903225806452
"mac_and_cheese",0.545454545454545,0.634920634920635,0.587301587301587,0.6,0.819672131147541,0.661538461538462,1,0.603174603174603,0.671875,0.306451612903226,0.164179104477612,0.426229508196721,0.276923076923077,0.524590163934426,0.258064516129032,0.193548387096774,0.318181818181818,0.246153846153846,0.353846153846154,0.164179104477612,0.184615384615385,0.34375,0.508196721311475,0.584615384615385,0.686567164179104,0.317460317460317,0.123076923076923,0.123076923076923,0.0923076923076923,0.0634920634920635,0.166666666666667,0.132352941176471,0.149253731343284,0.142857142857143,0.0615384615384615,0.15625
"onion_ring",0.714285714285714,0.784615384615385,0.892307692307692,0.857142857142857,0.676923076923077,0.636363636363636,0.603174603174603,1,0.587301587301587,0.28125,0.257575757575758,0.5,0.507936507936508,0.409836065573771,0.430769230769231,0.196969696969697,0.369230769230769,0.292307692307692,0.272727272727273,0.106060606060606,0.169230769230769,0.292307692307692,0.409090909090909,0.444444444444444,0.3125,0.212121212121212,0.138461538461538,0.0952380952380952,0.153846153846154,0.212121212121212,0.203125,0.107692307692308,0.171875,0.046875,0.0454545454545454,0.123076923076923
"sausage",0.923076923076923,0.446153846153846,0.5,0.80952380952381,0.714285714285714,0.984615384615385,0.671875,0.587301587301587,1,0.184615384615385,0.212121212121212,0.328125,0.3125,0.230769230769231,0.301587301587302,0.161290322580645,0.317460317460317,0.206349206349206,0.430769230769231,0.153846153846154,0.1875,0.290322580645161,0.447761194029851,0.403225806451613,0.373134328358209,0.2,0.19672131147541,0.0793650793650794,0.0769230769230769,0.161290322580645,0.109375,0.15,0.136363636363636,0.109375,0.123076923076923,0.112903225806452
"cake",0.21875,0.276923076923077,0.2,0.169230769230769,0.333333333333333,0.253968253968254,0.306451612903226,0.28125,0.184615384615385,1,0.682539682539683,0.828125,0.671875,0.828125,0.655737704918033,0.707692307692308,0.833333333333333,0.828125,0.0923076923076923,0.0625,0.104477611940298,0.138461538461538,0.15,0.153846153846154,0.0757575757575758,0.09375,0.164179104477612,0.208955223880597,0.5,0.46969696969697,0.492063492063492,0.344262295081967,0.483870967741935,0.296875,0.409090909090909,0.358208955223881
"chocolate_candy",0.26984126984127,0.328358208955224,0.230769230769231,0.193548387096774,0.184615384615385,0.238095238095238,0.164179104477612,0.257575757575758,0.212121212121212,0.682539682539683,1,0.651515151515151,0.841269841269841,0.507692307692308,0.646153846153846,0.73134328358209,0.682539682539683,0.4,0.393939393939394,0.0151515151515151,0.0294117647058824,0.0163934426229508,0.126984126984127,0.0298507462686567,0.0158730158730159,0.0327868852459017,0.123076923076923,0.0967741935483871,0.75,0.611940298507463,0.639344262295082,0.181818181818182,0.6,0.25,0.21875,0.0769230769230769
"cinnamon_roll",0.389830508474576,0.424242424242424,0.3125,0.432835820895522,0.640625,0.4,0.426229508196721,0.5,0.328125,0.828125,0.651515151515151,1,0.848484848484849,0.707692307692308,0.833333333333333,0.584615384615385,0.888888888888889,0.737704918032787,0.161290322580645,0.0625,0.0461538461538461,0.0461538461538461,0.112903225806452,0.292307692307692,0.171875,0.0615384615384615,0.0806451612903226,0.169230769230769,0.388059701492537,0.417910447761194,0.343283582089552,0.152542372881356,0.424242424242424,0.15625,0.126984126984127,0.078125
"cookie",0.296875,0.507936507936508,0.375,0.412698412698413,0.421875,0.303030303030303,0.276923076923077,0.507936507936508,0.3125,0.671875,0.841269841269841,0.848484848484849,1,0.584615384615385,0.8125,0.661016949152542,0.815384615384615,0.619047619047619,0.209677419354839,0.0793650793650794,0.0454545454545454,0.158730158730159,0.121212121212121,0.215384615384615,0.134328358208955,0.0769230769230769,0.0625,0.09375,0.477611940298508,0.46875,0.507462686567164,0.184615384615385,0.428571428571429,0.158730158730159,0.161290322580645,0.0634920634920635
"crepe",0.353846153846154,0.234375,0.303030303030303,0.238805970149254,0.523809523809524,0.353846153846154,0.524590163934426,0.409836065573771,0.230769230769231,0.828125,0.507692307692308,0.707692307692308,0.584615384615385,1,0.791044776119403,0.5,0.784615384615385,0.734375,0.136363636363636,0.153846153846154,0.0735294117647058,0.0491803278688525,0.21875,0.164179104477612,0.274193548387097,0.2,0.169230769230769,0.264705882352941,0.328125,0.317460317460317,0.378787878787879,0.303030303030303,0.360655737704918,0.492063492063492,0.476923076923077,0.311475409836066
"doughnut",0.318181818181818,0.415384615384615,0.402985074626866,0.5,0.349206349206349,0.428571428571429,0.258064516129032,0.430769230769231,0.301587301587302,0.655737704918033,0.646153846153846,0.833333333333333,0.8125,0.791044776119403,1,0.676470588235294,0.803030303030303,0.619047619047619,0.138461538461538,0.0793650793650794,0.106060606060606,0.0909090909090909,0.206349206349206,0.174603174603175,0.0909090909090909,0.078125,0.0597014925373134,0.09375,0.634920634920635,0.508474576271186,0.6,0.19047619047619,0.462686567164179,0.140625,0.213114754098361,0.186440677966102
"ice_cream",0.145161290322581,0.409090909090909,0.301587301587302,0.215384615384615,0.25,0.333333333333333,0.193548387096774,0.196969696969697,0.161290322580645,0.707692307692308,0.73134328358209,0.584615384615385,0.661016949152542,0.5,0.676470588235294,1,0.580645161290323,0.553846153846154,0.131147540983607,0.03125,0.164179104477612,0.0952380952380952,0.0454545454545454,0.193548387096774,0.032258064516129,0,0.0153846153846153,0.0491803278688525,0.553846153846154,0.555555555555556,0.560606060606061,0.230769230769231,0.818181818181818,0.283582089552239,0.318181818181818,0.206349206349206
