"","subnum","food1","food2","food3","answer","rt"
"0","sub-194","rice_5","cinnamon_roll_7","doughnut_6","rice_5",4447
"1","sub-194","gummy_bear_3","pineapple_6","crepe_2","gummy_bear_3",2318
"3","sub-194","squash_6","crepe_2","onion_ring_2","crepe_2",1676
"4","sub-194","apple_3","soup_7","mac_and_cheese_7","apple_3",1774
"6","sub-194","raspberry_2","tomato_1","sausage_1","sausage_1",1398
"7","sub-194","watermelon_6","chips_1","mac_and_cheese_7","watermelon_6",1698
"8","sub-194","broccoli_7","chocolate_candy_4","fried_chicken_7","broccoli_7",1519
"9","sub-194","mushroom_8","rice_5","bacon_2","bacon_2",1654
"10","sub-194","pineapple_6","soup_7","chips_1","chips_1",2093
"11","sub-194","cake_7","grilled_cheese_4","mac_and_cheese_7","cake_7",1985
"12","sub-194","jelly_bean_7","cake_7","cinnamon_roll_7","jelly_bean_7",1484
"13","sub-194","raspberry_2","fried_chicken_7","mac_and_cheese_7","raspberry_2",2290
"14","sub-194","watermelon_6","bean_8","chocolate_candy_4","watermelon_6",1776
"15","sub-194","bean_8","squash_6","pie_4","pie_4",2091
"16","sub-194","soup_7","cookie_7","doughnut_6","soup_7",1658
"17","sub-194","apple_3","gummy_bear_3","raspberry_2","gummy_bear_3",1499
"18","sub-194","chips_1","mac_and_cheese_7","onion_ring_2","mac_and_cheese_7",1812
"19","sub-194","jelly_bean_7","pie_4","onion_ring_2","pie_4",2121
"20","sub-194","jelly_bean_7","mushroom_8","soup_7","soup_7",1725
"21","sub-194","apple_3","strawberry_1","onion_ring_2","onion_ring_2",1146
"22","sub-195","crepe_2","doughnut_6","onion_ring_2","onion_ring_2",4347
"23","sub-195","apple_3","watermelon_6","grilled_cheese_4","grilled_cheese_4",1477
"24","sub-195","broccoli_7","tomato_1","fried_chicken_7","fried_chicken_7",1139
"25","sub-195","raspberry_2","bean_8","hot_dog_3","hot_dog_3",928
"27","sub-195","tomato_1","cookie_7","muffin_8","tomato_1",1649
"28","sub-195","pineapple_6","soup_7","muffin_8","soup_7",1184
"29","sub-195","cauliflower_3","fried_chicken_7","hot_dog_3","cauliflower_3",1966
"30","sub-195","mushroom_8","potato_6","chips_1","mushroom_8",1793
"31","sub-195","watermelon_6","tomato_1","cake_7","cake_7",2005
"32","sub-195","squash_6","doughnut_6","hot_dog_3","hot_dog_3",968
"33","sub-195","squash_6","pie_4","french_fries_5","squash_6",1787
"34","sub-195","popsicle_2","watermelon_6","mac_and_cheese_7","watermelon_6",2418
"35","sub-195","doughnut_6","muffin_8","french_fries_5","french_fries_5",2942
"36","sub-195","mushroom_8","rice_5","crepe_2","crepe_2",1918
"37","sub-195","candy_cane_5","chips_1","onion_ring_2","onion_ring_2",2503
"38","sub-195","pineapple_6","cauliflower_3","onion_ring_2","cauliflower_3",772
"39","sub-195","cauliflower_3","squash_6","chips_1","cauliflower_3",2257
"41","sub-195","watermelon_6","potato_6","cinnamon_roll_7","cinnamon_roll_7",2283
"42","sub-195","raspberry_2","cauliflower_3","ice_cream_1","ice_cream_1",1577
"43","sub-195","mushroom_8","fried_chicken_7","onion_ring_2","mushroom_8",1715
"44","sub-196","strawberry_1","crepe_2","ice_cream_1","ice_cream_1",4447
"45","sub-196","cookie_7","grilled_cheese_4","sausage_1","cookie_7",2919
"46","sub-196","apple_3","broccoli_7","squash_6","apple_3",9168
"47","sub-196","candy_cane_5","raspberry_2","chips_1","raspberry_2",3082
"48","sub-196","tomato_1","cinnamon_roll_7","muffin_8","tomato_1",2202
"49","sub-196","bean_8","soup_7","pie_4","soup_7",4934
"51","sub-196","potato_6","rice_5","cinnamon_roll_7","cinnamon_roll_7",3272
"52","sub-196","gummy_bear_3","popsicle_2","raspberry_2","raspberry_2",2539
"53","sub-196","chocolate_candy_4","bacon_2","fried_chicken_7","chocolate_candy_4",2927
"54","sub-196","popsicle_2","watermelon_6","soup_7","popsicle_2",2630
"55","sub-196","watermelon_6","cookie_7","bacon_2","watermelon_6",5967
"56","sub-196","watermelon_6","crepe_2","sausage_1","watermelon_6",2014
"57","sub-196","bean_8","cauliflower_3","soup_7","bean_8",3457
"58","sub-196","cauliflower_3","soup_7","pie_4","pie_4",1918
"59","sub-196","cinnamon_roll_7","doughnut_6","hot_dog_3","hot_dog_3",1668
"60","sub-196","popsicle_2","pie_4","mac_and_cheese_7","mac_and_cheese_7",5197
"61","sub-196","candy_cane_5","gummy_bear_3","mac_and_cheese_7","mac_and_cheese_7",1745
"62","sub-196","ice_cream_1","chips_1","grilled_cheese_4","grilled_cheese_4",5772
"63","sub-196","gummy_bear_3","watermelon_6","chocolate_candy_4","watermelon_6",2388
"65","sub-196","raspberry_2","watermelon_6","hot_dog_3","hot_dog_3",3458
"66","sub-197","bacon_2","grilled_cheese_4","onion_ring_2","grilled_cheese_4",4491
"67","sub-197","gummy_bear_3","strawberry_1","soup_7","soup_7",1888
"68","sub-197","gummy_bear_3","watermelon_6","cake_7","watermelon_6",2868
"69","sub-197","mushroom_8","potato_6","soup_7","soup_7",1959
"70","sub-197","apple_3","candy_cane_5","strawberry_1","candy_cane_5",1233
"71","sub-197","soup_7","chips_1","onion_ring_2","soup_7",2734
"72","sub-197","watermelon_6","mushroom_8","fried_chicken_7","fried_chicken_7",2289
"73","sub-197","apple_3","cauliflower_3","cake_7","cauliflower_3",1608
"74","sub-197","tomato_1","pie_4","hot_dog_3","hot_dog_3",2143
"75","sub-197","mushroom_8","chocolate_candy_4","fried_chicken_7","chocolate_candy_4",1211
"76","sub-197","jelly_bean_7","bean_8","sausage_1","jelly_bean_7",1914
"77","sub-197","apple_3","strawberry_1","rice_5","rice_5",1340
"79","sub-197","popsicle_2","broccoli_7","crepe_2","broccoli_7",2103
"80","sub-197","popsicle_2","strawberry_1","doughnut_6","strawberry_1",2876
"82","sub-197","rice_5","chocolate_candy_4","crepe_2","chocolate_candy_4",2670
"83","sub-197","gummy_bear_3","mushroom_8","sausage_1","sausage_1",1336
"84","sub-197","bean_8","muffin_8","hot_dog_3","muffin_8",2022
"85","sub-197","rice_5","soup_7","sausage_1","soup_7",3871
"86","sub-197","gummy_bear_3","strawberry_1","hot_dog_3","hot_dog_3",1792
"87","sub-197","tomato_1","pie_4","grilled_cheese_4","pie_4",2305
"88","sub-198","cake_7","chocolate_candy_4","crepe_2","chocolate_candy_4",6118
"89","sub-198","doughnut_6","chips_1","sausage_1","sausage_1",5037
"90","sub-198","jelly_bean_7","mushroom_8","cinnamon_roll_7","mushroom_8",3518
"91","sub-198","gummy_bear_3","pie_4","sausage_1","sausage_1",2528
"92","sub-198","cauliflower_3","potato_6","pie_4","pie_4",3121
"93","sub-198","apple_3","cookie_7","fried_chicken_7","apple_3",4430
"94","sub-198","cauliflower_3","crepe_2","grilled_cheese_4","cauliflower_3",3664
"95","sub-198","candy_cane_5","cauliflower_3","squash_6","candy_cane_5",1923
"97","sub-198","cauliflower_3","mushroom_8","potato_6","cauliflower_3",3475
"98","sub-198","candy_cane_5","bean_8","fried_chicken_7","candy_cane_5",3297
