"","subj","HITs","triplets","Age","Gender"
"sub-001","sub-001",22,440,NA,NA
"sub-002","sub-002",1,20,38,"male"
"sub-003","sub-003",12,240,34,"male"
"sub-004","sub-004",7,140,29,"female"
"sub-005","sub-005",1,20,29,"male"
"sub-006","sub-006",10,200,41,"male"
"sub-007","sub-007",1,20,31,"male"
"sub-008","sub-008",1,20,36,"female"
"sub-009","sub-009",1,20,24,"male"
"sub-010","sub-010",1,20,28,"male"
"sub-011","sub-011",11,220,NA,"male"
"sub-012","sub-012",1,20,56,"female"
"sub-013","sub-013",6,120,29,"male"
"sub-014","sub-014",2,40,36,"male"
"sub-015","sub-015",1,20,30,"female"
"sub-016","sub-016",10,200,34,"female"
"sub-017","sub-017",1,20,53,"female"
"sub-018","sub-018",5,100,52,"female"
"sub-019","sub-019",1,20,30,"male"
"sub-020","sub-020",1,20,28,"male"
"sub-021","sub-021",1,20,49,"female"
"sub-022","sub-022",2,40,62,"male"
"sub-023","sub-023",1,20,52,"female"
"sub-024","sub-024",1,20,26,"male"
"sub-025","sub-025",1,20,62,"female"
"sub-026","sub-026",1,20,NA,"male"
"sub-027","sub-027",1,20,52,"female"
"sub-028","sub-028",1,20,30,"male"
"sub-029","sub-029",1,20,68,"female"
"sub-030","sub-030",3,60,NA,NA
"sub-031","sub-031",1,20,30,"male"
"sub-032","sub-032",1,20,32,"male"
"sub-033","sub-033",1,20,35,"male"
"sub-034","sub-034",1,20,40,"male"
"sub-035","sub-035",1,20,32,"female"
"sub-036","sub-036",1,20,57,"female"
"sub-037","sub-037",1,20,30,"male"
"sub-038","sub-038",1,20,26,"female"
"sub-039","sub-039",2,40,29,"male"
"sub-040","sub-040",1,20,45,"male"
"sub-041","sub-041",1,20,34,"male"
"sub-042","sub-042",1,20,58,"male"
"sub-043","sub-043",1,20,28,"male"
"sub-044","sub-044",1,20,47,"male"
"sub-045","sub-045",4,80,28,"male"
"sub-046","sub-046",1,20,25,"male"
"sub-047","sub-047",1,20,37,"male"
"sub-048","sub-048",1,20,30,"male"
"sub-049","sub-049",1,20,54,"male"
"sub-050","sub-050",1,20,34,"male"
"sub-051","sub-051",10,200,NA,NA
"sub-052","sub-052",1,20,45,"male"
"sub-053","sub-053",1,20,34,"male"
"sub-054","sub-054",1,20,23,"female"
"sub-055","sub-055",2,40,55,"female"
"sub-056","sub-056",1,20,37,"female"
"sub-057","sub-057",1,20,35,"male"
"sub-058","sub-058",1,20,55,"female"
"sub-059","sub-059",3,60,60,"female"
"sub-060","sub-060",1,20,30,"male"
"sub-061","sub-061",2,40,23,"male"
"sub-062","sub-062",1,20,27,"male"
"sub-063","sub-063",4,80,34,"male"
"sub-064","sub-064",2,40,30,"male"
"sub-065","sub-065",14,280,33,"male"
"sub-066","sub-066",1,20,31,"male"
"sub-067","sub-067",1,20,43,"male"
"sub-068","sub-068",1,20,35,"female"
"sub-069","sub-069",6,120,NA,NA
"sub-070","sub-070",1,20,NA,"female"
"sub-071","sub-071",1,20,30,"male"
"sub-072","sub-072",1,20,41,"male"
"sub-073","sub-073",1,20,39,"male"
"sub-074","sub-074",1,20,47,"male"
"sub-075","sub-075",1,20,30,"male"
"sub-076","sub-076",1,20,NA,"male"
"sub-077","sub-077",1,20,76,"male"
"sub-078","sub-078",1,20,24,"female"
"sub-079","sub-079",1,20,30,"male"
"sub-080","sub-080",1,20,34,"male"
"sub-081","sub-081",2,40,54,"female"
"sub-082","sub-082",1,20,34,"female"
"sub-083","sub-083",1,20,33,"male"
"sub-084","sub-084",1,20,32,"female"
"sub-085","sub-085",3,60,35,"female"
"sub-086","sub-086",2,40,46,"male"
"sub-087","sub-087",1,20,56,"female"
"sub-088","sub-088",1,20,30,"female"
"sub-089","sub-089",1,20,33,"male"
"sub-090","sub-090",3,60,NA,NA
"sub-091","sub-091",1,20,30,NA
"sub-092","sub-092",1,20,29,"female"
"sub-093","sub-093",1,20,35,"female"
"sub-094","sub-094",1,20,29,"male"
"sub-095","sub-095",1,20,44,"female"
"sub-096","sub-096",1,20,35,"male"
"sub-097","sub-097",2,40,40,"male"
"sub-098","sub-098",3,60,NA,NA
"sub-099","sub-099",1,20,41,"male"
"sub-100","sub-100",1,20,34,"female"
"sub-101","sub-101",1,20,35,"male"
"sub-102","sub-102",1,20,33,"male"
"sub-103","sub-103",1,20,31,"male"
"sub-104","sub-104",1,20,60,"female"
"sub-105","sub-105",1,20,37,"male"
"sub-106","sub-106",1,20,70,"male"
"sub-107","sub-107",2,40,41,"male"
"sub-108","sub-108",1,20,NA,"male"
"sub-109","sub-109",1,20,34,"female"
"sub-110","sub-110",1,20,43,"male"
"sub-111","sub-111",1,20,29,"female"
"sub-112","sub-112",1,20,NA,"female"
"sub-113","sub-113",1,20,43,"male"
"sub-114","sub-114",1,20,38,"male"
"sub-115","sub-115",1,20,53,"male"
"sub-116","sub-116",1,20,53,"female"
"sub-117","sub-117",1,20,36,"male"
